,ZoneCode,ZoneName,RegeionCode,RegeionName,ProductCategoryName,BusinessNature,Budget,Sales
427,Z37,Brahmanbaria,R370,SARAIL,TREXAM,G,"1,799",900
428,Z37,Brahmanbaria,R541,AKHAURA,ABICON,G,"7,084","4,385"
429,Z37,Brahmanbaria,R541,AKHAURA,AERON,G,"82,234","83,359"
430,Z37,Brahmanbaria,R541,AKHAURA,ANGENTA,G,"105,322","80,584"
431,Z37,Brahmanbaria,R541,AKHAURA,AROXOL,G,"3,842","5,690"
432,Z37,Brahmanbaria,R541,AKHAURA,NOVEA,G,"2,249","3,103"
433,Z37,Brahmanbaria,R541,AKHAURA,OPAL,G,"40,479","44,228"
434,Z37,Brahmanbaria,R541,AKHAURA,ZEROPAIN,G,"13,449","12,099"
435,Z37,Brahmanbaria,R541,AKHAURA,ZYDUS,G,"5,037","3,778"
436,Z37,Brahmanbaria,R560,VIS-B.Baria,RESQUIN Eye Drop,V,"2,092",675
437,Z37,Brahmanbaria,R560,VIS-B.Baria,RESQUIN TS,V,"1,949","1,559"
438,Z37,Brahmanbaria,R560,VIS-B.Baria,SYNAMET,V,"3,418","2,069"
439,Z37,Brahmanbaria,R560,VIS-B.Baria,TRIDERM,V,"3,906","2,935"
440,Z37,Brahmanbaria,R560,VIS-B.Baria,ZOCARE,V,"3,448","3,448"
441,Z37,Brahmanbaria,R151,Brahmanbaria - B,AROXOL,G,"2,406","2,736"
442,Z37,Brahmanbaria,R151,Brahmanbaria - B,DENTRO,G,900,675
443,Z37,Brahmanbaria,R151,Brahmanbaria - B,IBIDA,G,"7,121","3,373"
444,Z37,Brahmanbaria,R151,Brahmanbaria - B,MENSIL N,G,"22,354","12,908"
445,Z37,Brahmanbaria,R151,Brahmanbaria - B,NOVEA,G,"2,249","1,529"
446,Z37,Brahmanbaria,R151,Brahmanbaria - B,RESQUIN,G,0,0
447,Z37,Brahmanbaria,R151,Brahmanbaria - B,ROZITH,G,"66,746","50,697"
448,Z37,Brahmanbaria,R151,Brahmanbaria - B,SERGEL,G,"2,589,116","2,301,140"
449,Z37,Brahmanbaria,R151,Brahmanbaria - B,SKILOX,G,"15,454","23,528"
450,Z37,Brahmanbaria,R151,Brahmanbaria - B,VIFAS,G,"13,085","6,597"
451,Z37,Brahmanbaria,R151,Brahmanbaria - B,ZILAS,G,"12,144","11,807"
452,Z37,Brahmanbaria,R153,MADHOBPUR,ABICON,G,"11,469","3,373"
453,Z37,Brahmanbaria,R153,MADHOBPUR,CEVION,G,0,0
454,Z37,Brahmanbaria,R153,MADHOBPUR,CLEOCIN,G,0,336
455,Z37,Brahmanbaria,R153,MADHOBPUR,DENVAR,G,"284,074","154,202"
456,Z37,Brahmanbaria,R153,MADHOBPUR,HYALGUN,G,0,"1,484"
457,Z37,Brahmanbaria,R153,MADHOBPUR,NEOPENEM,G,"3,373","5,397"
458,Z37,Brahmanbaria,R153,MADHOBPUR,NFT-100,G,"8,546","6,357"
459,Z37,Brahmanbaria,R153,MADHOBPUR,ORICEF,G,"184,814","126,553"
460,Z37,Brahmanbaria,R153,MADHOBPUR,PREGEL,G,0,0
461,Z37,Brahmanbaria,R153,MADHOBPUR,ROCEF,G,"2,226","1,432"
462,Z37,Brahmanbaria,R153,MADHOBPUR,SANTE,G,"10,120","8,883"
463,Z37,Brahmanbaria,R153,MADHOBPUR,SANTOGEN,G,"79,611","57,347"
464,Z37,Brahmanbaria,R153,MADHOBPUR,SOLIVO,G,"52,196","39,782"
465,Z37,Brahmanbaria,R153,MADHOBPUR,VISET,G,"107,440","83,651"
466,Z37,Brahmanbaria,R153,MADHOBPUR,ZYDUS,G,"5,457","2,519"
467,Z37,Brahmanbaria,R155,Brahmanbaria - C,LEXOPIL,G,"1,312","2,062"
468,Z37,Brahmanbaria,R155,Brahmanbaria - C,PREGEL,G,562,"2,751"
469,Z37,Brahmanbaria,R155,Brahmanbaria - C,SLIMFAST,G,"26,987","26,987"
470,Z37,Brahmanbaria,R155,Brahmanbaria - C,SYNDOL PLUS,G,0,0
471,Z37,Brahmanbaria,R155,Brahmanbaria - C,VISET,G,"69,176","73,628"
472,Z37,Brahmanbaria,R307,Brahmanbaria - A,ALCET,G,"131,370","125,186"
473,Z37,Brahmanbaria,R307,Brahmanbaria - A,AVANZA,G,"13,088","12,009"
474,Z37,Brahmanbaria,R307,Brahmanbaria - A,BONDROVA,G,"49,625","45,982"
475,Z37,Brahmanbaria,R307,Brahmanbaria - A,FOSFOGEN,G,"1,837","3,411"
476,Z37,Brahmanbaria,R307,Brahmanbaria - A,NAPRYN,G,"55,787","53,928"
477,Z37,Brahmanbaria,R307,Brahmanbaria - A,NIRVANA,G,486,"1,649"
478,Z37,Brahmanbaria,R307,Brahmanbaria - A,PRENAT,G,"15,113","13,673"
479,Z37,Brahmanbaria,R307,Brahmanbaria - A,ROXETIL,G,356,712
480,Z37,Brahmanbaria,R307,Brahmanbaria - A,SERGEL,G,"1,989,610","1,686,312"
481,Z37,Brahmanbaria,R307,Brahmanbaria - A,SLIMFAST,G,"33,463","46,417"
482,Z37,Brahmanbaria,R307,Brahmanbaria - A,SYNFLEX,G,0,0
483,Z37,Brahmanbaria,R307,Brahmanbaria - A,TICOPLAN,G,0,0
484,Z37,Brahmanbaria,R307,Brahmanbaria - A,VORIFAST,G,"52,024","47,676"
485,Z37,Brahmanbaria,R321,NABINAGAR,AVANZA,G,"11,649","9,040"
486,Z37,Brahmanbaria,R321,NABINAGAR,BONDROVA,G,"24,978","20,570"
487,Z37,Brahmanbaria,R321,NABINAGAR,D-VINE,G,"5,247","12,590"
488,Z37,Brahmanbaria,R321,NABINAGAR,NIRVANA,G,"1,139",342
489,Z37,Brahmanbaria,R321,NABINAGAR,NOVEA,G,"3,598","8,658"
490,Z37,Brahmanbaria,R321,NABINAGAR,NUTRILIVE,G,"2,624",0
491,Z37,Brahmanbaria,R321,NABINAGAR,PRENAT,G,"27,077","27,931"
492,Z37,Brahmanbaria,R321,NABINAGAR,ROXETIL,G,"2,065",712
493,Z37,Brahmanbaria,R321,NABINAGAR,SERGEL,G,"3,343,384","3,345,662"
494,Z37,Brahmanbaria,R321,NABINAGAR,SLIMFAST,G,"26,987","52,894"
495,Z37,Brahmanbaria,R321,NABINAGAR,STENER,G,"7,984","13,156"
496,Z37,Brahmanbaria,R324,KOSBA,FERISEN,G,"72,331","91,019"
497,Z37,Brahmanbaria,R324,KOSBA,LEXOPIL,G,"3,936","3,936"
498,Z37,Brahmanbaria,R324,KOSBA,PREGEL,G,375,"2,811"
499,Z37,Brahmanbaria,R324,KOSBA,RENOVIT,G,"71,964","69,018"
500,Z37,Brahmanbaria,R324,KOSBA,ROSELA,G,"4,408","14,528"
501,Z37,Brahmanbaria,R324,KOSBA,SANGRIL,G,"1,349",967
502,Z37,Brahmanbaria,R324,KOSBA,VECTRA,G,"10,232","13,606"
503,Z37,Brahmanbaria,R370,SARAIL,ALCET,G,"192,913","158,019"
504,Z37,Brahmanbaria,R370,SARAIL,CEVION,G,0,61
505,Z37,Brahmanbaria,R370,SARAIL,D-VINE,G,"2,717","3,403"
506,Z37,Brahmanbaria,R370,SARAIL,DANILO,G,"12,571","10,435"
507,Z37,Brahmanbaria,R370,SARAIL,FOSFOGEN,G,"1,574","1,574"
508,Z37,Brahmanbaria,R370,SARAIL,GEMICIN,G,0,0
509,Z37,Brahmanbaria,R370,SARAIL,MYOREL,G,"1,113",557
510,Z37,Brahmanbaria,R370,SARAIL,NAPRYN,G,"45,067","38,673"
511,Z37,Brahmanbaria,R370,SARAIL,NEOPENEM,G,"8,883","6,072"
512,Z37,Brahmanbaria,R370,SARAIL,NFT-100,G,"8,546","3,148"
513,Z37,Brahmanbaria,R370,SARAIL,NUTRILIVE,G,"1,312","1,574"
514,Z37,Brahmanbaria,R370,SARAIL,OXOFYLINE,G,"4,123","4,273"
515,Z37,Brahmanbaria,R370,SARAIL,PRENAT,G,"19,790","17,631"
516,Z37,Brahmanbaria,R370,SARAIL,REEF-D,G,"46,289","73,650"
517,Z37,Brahmanbaria,R370,SARAIL,ROCAL,G,"40,682","62,991"
518,Z37,Brahmanbaria,R370,SARAIL,ROXETIL,G,"3,988","1,424"
519,Z37,Brahmanbaria,R370,SARAIL,SANTE,G,"3,261",562
520,Z37,Brahmanbaria,R370,SARAIL,STENER,G,"6,522","4,723"
521,Z37,Brahmanbaria,R370,SARAIL,TERNILLA,G,"23,081","22,684"
522,Z37,Brahmanbaria,R541,AKHAURA,CANDINIL,G,"10,808","10,156"
523,Z37,Brahmanbaria,R541,AKHAURA,CEVION,G,0,0
524,Z37,Brahmanbaria,R541,AKHAURA,CLONATRIL,G,"46,912",0
525,Z37,Brahmanbaria,R541,AKHAURA,D-VINE,G,"3,763","9,813"
526,Z37,Brahmanbaria,R541,AKHAURA,DANILO,G,"10,772","8,793"
527,Z37,Brahmanbaria,R541,AKHAURA,FOSFOGEN,G,"1,312","2,624"
528,Z37,Brahmanbaria,R541,AKHAURA,NAPRYN,G,"74,025","78,080"
529,Z37,Brahmanbaria,R541,AKHAURA,NEOPENEM,G,"11,807",0
530,Z37,Brahmanbaria,R541,AKHAURA,NFT-100,G,"2,249",450
531,Z37,Brahmanbaria,R541,AKHAURA,ORICEF,G,"161,328","168,359"
532,Z37,Brahmanbaria,R541,AKHAURA,OXOFYLINE,G,"3,673","5,547"
533,Z37,Brahmanbaria,R541,AKHAURA,PALZEN,G,375,0
534,Z37,Brahmanbaria,R541,AKHAURA,PRENAT,G,"13,178","12,774"
535,Z37,Brahmanbaria,R541,AKHAURA,REEF-D,G,"44,677","62,818"
536,Z37,Brahmanbaria,R541,AKHAURA,SANTE,G,"18,665","10,120"
537,Z37,Brahmanbaria,R541,AKHAURA,SANTOGEN,G,"47,902","29,011"
538,Z37,Brahmanbaria,R541,AKHAURA,ZOVENTA,G,"23,118","13,043"
539,Z37,Brahmanbaria,R560,VIS-B.Baria,BLUDROP,V,"1,199",825
540,Z37,Brahmanbaria,R560,VIS-B.Baria,EYELIA,V,259,0
541,Z37,Brahmanbaria,R560,VIS-B.Baria,FLUMETOL INHALER,R,"150,360","168,531"
542,Z37,Brahmanbaria,R560,VIS-B.Baria,LATUDA,V,"5,060","9,558"
543,Z37,Brahmanbaria,R560,VIS-B.Baria,LUVIO,V,"12,369","4,498"
544,Z37,Brahmanbaria,R560,VIS-B.Baria,ROCIPRO. ED,V,"7,488","5,936"
545,Z37,Brahmanbaria,R560,VIS-B.Baria,SERGEL,G,0,"7,121"
546,Z37,Brahmanbaria,R560,VIS-B.Baria,SILVERAX,V,"2,815","1,282"
547,Z37,Brahmanbaria,R560,VIS-B.Baria,SIZONIL,V,"41,530","37,444"
548,Z37,Brahmanbaria,R560,VIS-B.Baria,TITAN,R,540,180
549,Z37,Brahmanbaria,R560,VIS-B.Baria,VASOACTIN,V,0,0
550,Z37,Brahmanbaria,R151,Brahmanbaria - B,ABICON,G,"8,995","5,172"
551,Z37,Brahmanbaria,R151,Brahmanbaria - B,ACTILAC,G,"3,467","4,779"
552,Z37,Brahmanbaria,R151,Brahmanbaria - B,BONDROVA,G,"32,324","22,039"
553,Z37,Brahmanbaria,R151,Brahmanbaria - B,D-VINE,G,"6,297","10,225"
554,Z37,Brahmanbaria,R151,Brahmanbaria - B,FELURIC,G,"1,349",540
555,Z37,Brahmanbaria,R151,Brahmanbaria - B,FOSFOGEN,G,"2,624","3,936"
